city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
Corning,39.9261111111111,-122.180555555556,84.0,276.0,17382.0,3.55,3.55,0.0,9.193,9.193,0.0,0.0
Corona,33.8666666666667,-117.566666666667,206.0,678.0,158391.0,38.93,38.825,0.105,100.829,100.558,0.272,0.27
Coronado,32.6780555555556,-117.1725,6.0,20.0,24697.0,32.666,7.931,24.735,84.603,20.541,64.062,
CorteMadera,37.9255555555556,-122.5275,12.0,39.0,9253.0,4.406,3.164,1.242,11.41,8.193,3.216,
CostaMesa,33.665,-117.912222222222,30.0,98.0,109960.0,15.7,15.654,0.046,40.662,40.543,0.119,0.29
Cotati,38.3277777777778,-122.709166666667,34.0,112.0,7310.0,1.883,1.88,0.003,4.877,4.869,0.008,0.17
Covina,34.0916666666667,-117.879166666667,170.0,558.0,47796.0,7.041,7.026,0.015,18.236,18.196,0.039,0.22
CrescentCity,41.7558333333333,-124.201666666667,,43.0,7643.0,2.415,1.963,0.452,6.255,5.085,1.17,18.7
Cudahy,33.9641666666667,-118.1825,37.0,121.0,23805.0,1.226,1.175,0.051,3.175,3.043,0.132,4.15
CulverCity,34.0077777777778,-118.400833333333,29.0,95.0,38883.0,5.139,5.111,0.028,13.31,13.238,0.072,0.54
Cupertino,37.3175,-122.041944444444,72.0,236.0,58302.0,11.257,11.256,0.001,29.156,29.153,0.003,0.01
Cypress,33.8183333333333,-118.039166666667,12.0,39.0,47802.0,6.59,6.581,0.009,17.069,17.045,0.024,0.14
DalyCity,37.6863888888889,-122.468333333333,57.0,187.0,101123.0,7.664,7.664,0.0,19.849,19.849,0.0,0.0
DanaPoint,33.4672222222222,-117.698055555556,44.0,144.0,33351.0,29.484,6.497,22.987,76.364,16.828,59.536,77.96
Danville,37.8216666666667,-122.0,109.0,358.0,42039.0,18.028,18.028,0.0,46.693,46.693,0.0,0.0
Davis,38.5538888888889,-121.738055555556,16.0,52.0,65622.0,9.919,9.887,0.032,25.69,25.608,0.082,0.32
Delano,35.7688888888889,-119.246944444444,96.0,315.0,53819.0,14.355,14.303,0.052,37.18,37.044,0.135,
DelMar,32.955,-117.263888888889,34.0,112.0,4161.0,1.777,1.707,0.07,4.602,4.421,0.181,
DelReyOaks,36.5933333333333,-121.835,25.0,82.0,1624.0,0.483,0.481,0.002,1.251,1.246,0.005,
DesertHotSprings,,-116.508055555556,328.0,1076.0,25938.0,23.642,23.615,0.027,61.233,61.164,0.069,
DiamondBar,34.0016666666667,-117.820833333333,212.0,696.0,55544.0,14.885,14.88,0.005,38.552,38.538,0.014,0.04
Dinuba,36.545,,102.0,345.0,21453.0,6.47,6.47,0.0,16.758,16.758,0.0,0.0
Dixon,38.4491666666667,-121.826944444444,19.0,62.0,18351.0,7.092,6.996,0.096,18.368,18.118,0.249,1.36
Dorris,41.965,-121.918888888889,1294.0,4245.0,939.0,0.718,0.702,0.016,1.86,1.819,0.041,2.19
DosPalos,36.9833333333333,-120.633333333333,362.0,118.0,4950.0,1.35,1.35,0.0,3.496,3.496,0.0,0.0
Downey,33.9380555555555,-118.130833333333,36.0,118.0,111772.0,12.568,12.408,0.16,32.551,32.137,0.414,1.27
Duarte,34.1402777777778,-117.961666666667,156.0,512.0,21321.0,6.69,6.69,0.0,17.328,17.328,0.0,0.0
Dublin,37.7022222222222,-121.935833333333,,367.0,49890.0,14.912,14.908,0.004,38.622,38.611,0.011,0.03
Dunsmuir,41.2216666666667,-122.273055555556,695.0,2280.0,1650.0,1.735,1.698,0.037,4.494,4.398,0.096,2.14
EastPaloAlto,37.4669444444444,-122.139722222222,6.0,20.0,28155.0,2.612,2.505,0.107,6.766,6.488,0.278,4.11
Eastvale,33.9630555555556,-117.563888888889,,627.0,53668.0,11.445,11.405,0.04,29.644,29.539,0.104,0.35
ElCajon,32.7983333333333,-116.96,133.0,436.0,99478.0,14.433,14.433,0.0,37.381,37.381,0.0,0.0
ElCentro,32.8,-115.566666666667,-12.0,-39.0,42598.0,11.099,11.081,0.018,28.746,28.7,0.046,0.16
ElCerrito,37.9158333333333,-122.311666666667,,69.0,23549.0,3.688,3.688,0.0,9.551,9.551,0.0,0.0
ElkGrove,38.4383333333333,-121.381944444444,14.0,45.0,153015.0,42.239,42.19,0.049,109.398,109.271,0.127,0.12
ElMonte,34.0733333333333,-118.0275,91.0,299.0,113475.0,9.648,9.562,0.086,24.988,24.766,0.222,0.89
ElSegundo,33.9213888888889,-118.406111111111,35.0,115.0,16654.0,5.465,5.463,0.002,14.152,14.148,0.004,0.03
Emeryville,37.8313888888889,-122.285277777778,7.0,23.0,10080.0,2.01,1.246,0.764,5.206,3.226,1.979,38.02
Encinitas,33.0444444444444,-117.271666666667,25.0,82.0,59518.0,19.99,18.812,1.178,51.772,48.722,3.05,5.89
Escalon,37.7916666666667,-120.991666666667,36.0,118.0,7266.0,2.368,2.301,0.067,6.134,5.959,0.175,
Escondido,,-117.080833333333,197.0,646.0,143911.0,36.989,36.813,0.176,95.801,95.345,0.456,
Etna,41.4572222222222,-122.896944444444,895.0,2936.0,737.0,0.759,0.758,0.001,1.965,1.962,0.002,0.12
Eureka,,,,39.0,27191.0,14.454,9.384,5.07,37.435,24.305,13.13,35.07
Exeter,36.2941666666667,-119.142777777778,119.0,390.0,10334.0,2.463,2.463,0.0,6.379,6.379,0.0,0.0
Fairfax,37.9872222222222,-122.588888888889,35.0,115.0,7441.0,2.204,2.204,0.0,5.707,5.707,0.0,0.0
Fairfield,38.2577777777778,-122.054166666667,4.0,13.0,108321.0,37.635,34.39,3.245,97.475,94.839,2.635,5.65
Farmersville,36.3011111111111,-119.2075,109.0,358.0,10588.0,2.258,2.258,0.0,5.849,5.849,0.0,0.0
Ferndale,40.5766666666667,-124.263333333333,17.0,56.0,1371.0,1.027,1.027,0.0,2.659,2.659,0.0,0.0
Fillmore,34.4013888888889,-118.917777777778,139.0,456.0,15002.0,3.365,3.364,0.001,8.715,8.712,0.003,0.03
Firebaugh,36.8588888888889,-120.456111111111,46.0,151.0,7549.0,3.519,3.462,0.057,9.114,8.967,0.148,1.62
Folsom,38.6722222222222,-121.157777777778,67.0,220.0,72203.0,24.301,21.945,2.356,62.939,56.838,6.101,9.69
Fontana,34.1,-117.466666666667,377.0,1237.0,201812.0,42.432,42.432,3.0,109.899,109.899,6.0,3.0
FortBragg,39.4458333333333,-123.805277777778,26.0,85.0,7273.0,2.8,2.7,,7.2,7.1,0.1,
FortJones,41.6072222222222,-122.841944444444,842.0,2762.0,839.0,0.602,0.602,0.0,1.56,1.56,0.0,0.0
Fortuna,40.5980555555556,-124.157222222222,20.0,66.0,11926.0,4.845,4.845,0.0,12.549,12.549,0.0,0.0
FosterCity,37.5513888888889,-122.266388888889,2.0,7.0,30567.0,19.841,3.756,16.085,51.388,9.729,41.659,81.07
FountainValley,33.7086111111111,-117.956388888889,10.0,33.0,55313.0,9.031,9.018,0.013,23.391,23.357,0.034,0.14
Fowler,36.6333333333333,-119.683333333333,94.0,308.0,5570.0,2.531,2.531,0.0,6.556,6.556,0.0,0.0
Fremont,37.5483333333333,-121.988611111111,71.0,218.0,220000.0,87.61,77.459,10.151,226.91,200.618,26.292,11.59
Fresno,36.75,-119.766666666667,,308.0,509039.0,112.308,111.957,0.351,290.877,289.967,0.91,0.31
Fullerton,33.88,-117.928611111111,50.0,164.0,135161.0,22.36,22.353,0.011,57.921,57.893,0.027,0.05
Galt,38.2608333333333,-121.303055555556,16.0,47.0,23647.0,5.944,5.931,0.013,15.397,15.362,0.035,0.23
Gardena,33.8936111111111,-118.307777777778,15.0,49.0,58829.0,5.865,5.829,0.036,15.191,15.097,0.094,0.62
GardenGrove,33.7788888888889,-117.960277777778,27.0,89.0,170883.0,17.959,17.941,0.018,46.513,46.467,0.046,0.1
Gilroy,37.0119444444444,-121.58,61.0,200.0,48821.0,16.156,16.146,0.01,41.845,41.819,0.027,0.06
Glendale,34.1708333333333,-118.25,159.0,522.0,196021.0,30.583,30.453,0.13,79.212,78.874,0.338,
Glendora,34.1308333333333,-117.854166666667,236.0,774.0,50073.0,19.558,19.393,0.165,50.655,50.228,0.427,
Goleta,34.4405555555556,-119.813611111111,,20.0,29888.0,7.975,7.903,0.072,20.654,20.467,0.187,
Gonzales,36.5066666666667,-121.444444444444,41.0,135.0,8187.0,1.959,1.921,0.038,5.075,4.976,0.098,1.93
GrandTerrace,34.0311111111111,-117.316666666667,324.0,1063.0,12040.0,3.502,3.502,0.0,9.07,9.07,0.0,0.0
GrassValley,39.2191666666667,-121.058333333333,735.0,2411.0,12860.0,4.743,4.743,0.0,12.285,12.285,0.0,0.0
Greenfield,36.3208333333333,-121.243888888889,88.0,289.0,16330.0,2.135,2.135,0.0,5.53,5.53,0.0,0.0
Gridley,39.3638888888889,-121.693611111111,29.0,95.0,6593.0,,2.07,0.0,,2.07,0.0,0.0
GroverBeach,35.1208333333333,-120.619444444444,19.0,62.0,13156.0,2.314,2.31,0.004,5.995,5.983,0.011,0.19
Guadalupe,34.9655555555556,-120.573055555556,26.0,85.0,7080.0,1.314,1.309,0.005,3.405,3.391,0.014,0.4
Gustine,37.2577777777778,-120.998888888889,30.0,98.0,5520.0,1.551,1.551,0.0,4.017,4.017,0.0,0.0
HalfMoonBay,37.4588888888889,-122.436944444444,22.0,72.0,11324.0,6.444,6.424,0.02,16.692,16.639,0.053,0.32
Hanford,36.3275,-119.645555555556,76.0,249.0,55283.0,16.589,16.589,0.0,42.966,42.966,0.0,0.0
HawaiianGardens,33.8286111111111,-118.073611111111,10.0,33.0,14254.0,0.956,0.946,0.01,2.477,2.45,0.027,1.09
Hawthorne,33.9172222222222,-118.348611111111,22.0,72.0,84293.0,6.092,6.081,0.011,15.779,15.75,0.029,0.18
Hayward,37.6688888888889,-122.080833333333,,105.0,149392.0,63.748,45.323,18.425,165.108,117.386,47.721,28.9
Healdsburg,38.6175,-122.866388888889,32.0,105.0,11254.0,4.464,4.457,0.007,11.561,11.543,0.018,0.15
Hemet,33.7419444444444,-116.983055555556,486.0,1594.0,78657.0,27.847,27.847,0.0,72.124,72.124,0.0,0.0
Hercules,38.0172222222222,-122.288611111111,24.0,79.0,24060.0,18.179,6.205,11.974,47.084,16.072,31.012,65.87
HermosaBeach,33.8663888888889,-118.399722222222,8.0,26.0,19506.0,1.427,1.427,0.0,3.695,3.695,0.0,0.0
Hesperia,34.4127777777778,-117.306111111111,971.0,3186.0,90173.0,73.209,73.096,0.113,189.61,189.316,0.294,0.15
HiddenHills,34.1675,-118.660833333333,328.0,1076.0,1856.0,1.689,1.689,0.0,4.373,4.373,0.0,0.0
Highland,34.1183333333333,-117.2025,399.0,1309.0,53014.0,18.89,18.755,0.135,48.924,48.575,0.349,0.71
Hillsborough,37.5602777777778,-122.356388888889,98.0,322.0,10825.0,6.19,6.19,0.0,16.031,16.031,0.0,0.0
Hollister,36.8472222222222,-121.398333333333,88.0,289.0,34928.0,7.29,7.29,0.0,18.88,18.88,0.0,0.0
Holtville,32.8111111111111,-115.380277777778,-3.0,-10.0,5939.0,1.153,1.148,0.005,2.986,2.974,0.012,0.4
Hughson,37.6030555555556,-120.866944444444,38.0,125.0,6640.0,1.815,1.815,0.0,4.701,4.701,0.0,0.0
HuntingtonBeach,33.6927777777778,-118.000277777778,12.0,39.0,197575.0,31.882,26.748,5.134,82.576,69.278,13.298,16.1
HuntingtonPark,33.9833333333333,-118.216666666667,52.0,171.0,58114.0,3.016,3.013,0.003,7.811,7.802,0.008,0.11
Huron,36.2027777777778,-120.103055555556,114.0,374.0,6754.0,1.591,1.591,0.0,4.121,4.121,0.0,0.0
ImperialBeach,32.5783333333333,-117.117222222222,21.0,69.0,26324.0,4.485,4.161,0.324,11.616,10.778,0.838,7.22
Imperial,32.8475,-115.569444444444,-18.0,-59.0,14758.0,5.856,5.856,0.0,15.168,15.168,0.0,0.0
IndianWells,33.7158333333333,-116.341111111111,27.0,89.0,4958.0,14.591,14.321,0.27,37.79,37.091,0.699,1.85
Indio,33.72,-116.231944444444,-4.0,-13.0,76036.0,29.189,29.181,0.008,75.6,75.579,0.021,
